Date,Open,High,Low,Close,Adj Close,Volume
2014-05-15,566.200012,572.450012,566.200012,566.200012,566.200012,617
2014-05-16,602.710022,602.710022,602.710022,602.710022,602.710022,94
2014-05-17,602.710022,650.909973,602.710022,650.909973,650.909973,1464
2014-05-18,604.909973,626.020020,560.119995,560.119995,560.119995,3601
2014-05-19,697.809998,697.809998,691.739990,691.739990,691.739990,31107
2014-05-20,693.030029,772.059998,693.030029,772.059998,772.059998,2949
2014-05-21,782.280029,782.280029,619.359985,622.130005,622.130005,55537
2014-05-22,670.119995,670.419983,619.000000,625.150024,625.150024,35821
2014-05-23,597.059998,617.650024,594.119995,617.650024,617.650024,9443
2014-05-24,737.880005,737.880005,70.269997,600.840027,600.840027,6621
2014-05-25,745.260010,745.260010,741.570007,741.570007,741.570007,9017
2014-05-26,735.859985,735.859985,735.859985,735.859985,735.859985,60509
2014-05-27,632.619995,632.619995,620.030029,620.030029,620.030029,23703
2014-05-28,682.239990,753.700012,574.520020,662.849976,662.849976,6224
2014-05-29,663.700012,663.700012,640.109985,640.109985,640.109985,63518
2014-05-30,701.020020,817.460022,662.070007,815.520020,815.520020,3041
2014-05-31,663.320007,663.320007,628.409973,628.409973,628.409973,18940
2014-06-01,644.799988,644.799988,643.719971,643.719971,643.719971,5040
2014-06-02,732.489990,794.849976,692.950012,692.950012,692.950012,36677
2014-06-03,591.109985,664.739990,591.109985,656.789978,656.789978,521
2014-06-04,770.080017,810.609985,693.080017,729.549988,729.549988,1422
2014-06-05,728.679993,728.679993,696.299988,696.299988,696.299988,204
2014-06-06,688.090027,760.099976,684.090027,684.090027,684.090027,2086
2014-06-07,694.250000,770.979980,694.250000,694.250000,694.250000,1207
2014-06-08,685.280029,721.349976,685.280029,685.280029,685.280029,596
2014-06-09,603.719971,710.250000,2.380000,710.250000,710.250000,6605
2014-06-10,802.570007,682.190002,682.190002,682.190002,682.190002,9830
2014-06-11,649.380005,681.330017,649.380005,681.330017,681.330017,219
2014-06-12,672.099976,672.099976,615.150024,671.719971,671.719971,4272
2014-06-13,660.469971,660.469971,604.840027,658.979980,658.979980,6372
2014-06-14,533.150024,533.150024,3.140000,533.150024,533.150024,4371
2014-06-15,569.500000,569.500000,555.429993,555.429993,555.429993,47339
2014-06-16,630.380005,630.380005,602.630005,602.630005,602.630005,40532
2014-06-17,612.869995,583.869995,583.869995,583.869995,583.869995,2154
2014-06-18,519.679993,570.960022,545.150024,570.960022,570.960022,37808
2014-06-19,627.099976,756.000000,608.580017,756.000000,756.000000,8588
2014-06-20,754.239990,754.239990,641.099976,641.099976,641.099976,6673
2014-06-21,648.359985,648.359985,621.659973,621.659973,621.659973,4998
2014-06-22,619.390015,619.390015,615.590027,615.590027,615.590027,20240
2014-06-23,549.789978,580.330017,549.789978,580.330017,580.330017,11449
2014-06-24,642.469971,642.469971,616.169983,616.169983,616.169983,41345
2014-06-25,624.039978,654.479980,624.039978,654.479980,654.479980,3953
2014-06-26,583.750000,644.840027,512.479980,644.840027,644.840027,66818
